id,prefectures,city,ward,town,polygon
11,京都府,京都市,上京区,三助町,"POLYGON((135.73749801048717 35.02185169091241,135.737761406631 35.021853526507975,135.7377774866673 35.02235768498695,135.73779794666208 35.0229991164474,135.73780226937285 35.023134347495606,135.73780190709988 35.02320125352399,135.73746709394132 35.023210743253905,135.7370610830834 35.023216627307036,135.73706321775558 35.02332621739798,135.7362896317142 35.02332573976138,135.7362902566895 35.02321052141645,135.73611294278672 35.02321436207173,135.73611962544908 35.02311880638625,135.73629692118007 35.0231205990149,135.7362966777611 35.02304298754337,135.73650618680307 35.023037032083174,135.73649230519433 35.022826140889855,135.73703048839576 35.02280941669497,135.73703026304605 35.02274589084683,135.73702969346502 35.02258179174524,135.73699697024594 35.022554184443,135.73698675544995 35.02242140617363,135.73708763535902 35.022377957560046,135.73724012836905 35.02236270321502,135.73723343293943 35.021885418216456,135.73718344655106 35.021889183879644,135.73717475780572 35.021848175790446,135.73741845965648 35.02185116673947,135.73749801048717 35.02185169091241))"
12,京都府,京都市,上京区,三条殿町,"POLYGON((135.74111391482586 35.026880533693394,135.74091393436558 35.02688208020831,135.74091245647028 35.02690292374003,135.74058576981054 35.0269096220718,135.7405634502795 35.0263493202592,135.7405899539384 35.026305640687774,135.740672780453 35.026307507617034,135.74068458627235 35.02627605137322,135.74088446902607 35.02628528127872,135.74089547885626 35.026084303049096,135.741136761138 35.026084676267565,135.74113179459454 35.02625587624133,135.74111391482586 35.026880533693394))"
13,京都府,京都市,上京区,三栄町,"POLYGON((135.76878910664672 35.030449342227,135.76878534875192 35.030563089178116,135.7687763627342 35.03118338762714,135.76847745247423 35.031682501455954,135.76823030718066 35.03157379168393,135.76845242046048 35.03115087675826,135.76849837185563 35.03073396874479,135.7682313000635 35.03073395884958,135.76822614226504 35.03041590501899,135.76833611334197 35.03041928047342,135.7683354404259 35.03029067998298,135.76851898239764 35.030276588129944,135.76851850231148 35.0304585689531,135.768671677977 35.03045857448803,135.76868195773747 35.03033217971137,135.76878989441494 35.030342804063636,135.7687896460745 35.03043294933552,135.76878910664672 35.030449342227))"
15,京都府,京都市,上京区,三番町,"POLYGON((135.73970815722961 35.022636289533,135.73972255563845 35.0231343872153,135.739398083012 35.023129325697205,135.73939896827176 35.023344625877954,135.7390239648983 35.02334551210693,135.7390209714409 35.02298463307895,135.73902460262525 35.02251911110292,135.7390255650632 35.022397132313806,135.73860779322945 35.02240799686395,135.7386084427395 35.022311370590856,135.73860083323845 35.02219944470577,135.7385850307835 35.02158612321335,135.73856379990556 35.021586007271495,135.73855383793335 35.02140611294682,135.73854575452498 35.021254886066856,135.73853165293562 35.020956382506,135.73856697028208 35.020880536780574,135.73857766764013 35.020732802010066,135.73938372121006 35.0207390388579,135.73938871508594 35.021436145922024,135.73939615685487 35.02247722900798,135.73971515958686 35.02247889824908,135.7397106682038 35.02258009312801,135.73970815722961 35.022636289533))"
16,京都府,京都市,上京区,三芳町,"POLYGON((135.76947559230504 35.03007365175242,135.7691057177464 35.030072959135985,135.76910515985205 35.030275785986966,135.76876314410703 35.03028022787417,135.76876040960556 35.030105665429176,135.76873575004979 35.030106069871124,135.76873610151836 35.03007198462219,135.76881075381286 35.03007487147292,135.76880471842264 35.02917297987568,135.7688396090167 35.02917262257221,135.7693724705294 35.02916728321411,135.7693868052194 35.02941901407468,135.76932723552878 35.02942693092531,135.76933748722374 35.02953646276594,135.7694162501745 35.029530835477445,135.76945728190407 35.029819659857,135.76947559230504 35.03007365175242))"
17,京都府,京都市,上京区,三軒町,"POLYGON((135.74091873774213 35.02500764948382,135.7409159605283 35.025189981986436,135.74091510020224 35.02524597007108,135.74090385864338 35.02591092697838,135.74090356853333 35.02592797060901,135.74089949981865 35.02601078525118,135.74089547885626 35.026084303049096,135.74088446902607 35.02628528127872,135.74068458627235 35.02627605137322,135.740672780453 35.026307507617034,135.7405899539384 35.026305640687774,135.7405634502795 35.0263493202592,135.73999295566094 35.026335777700915,135.73990032534758 35.02633360627447,135.73984244911134 35.02634059693401,135.7397283660595 35.026354438407935,135.73933265021432 35.02636260468449,135.73934087346362 35.02632719693298,135.73934235074807 35.026075842804026,135.73934280759354 35.02599210459213,135.73827069852192 35.025979378975265,135.7378044814274 35.02597386726764,135.73780382157963 35.02563489577079,135.73799184904067 35.02563600507755,135.73799366983508 35.025675941764476,135.73824561522295 35.0256813441867,135.73827586860818 35.025657815821965,135.73891186608228 35.025667000548644,135.73934999850655 35.025673362789114,135.73934944089288 35.02515113895168,135.73935476342274 35.02497627712475,135.7401452430386 35.02497965895709,135.74015857115896 35.02479087010637,135.74076783713028 35.02480477746125,135.74091708379646 35.02480418048852,135.74091873774213 35.02500764948382))"
18,京都府,京都市,上京区,上之町,"POLYGON((135.77156958182633 35.01902978256278,135.77155486032242 35.01988052783128,135.76994656113692 35.01982133775857,135.76998111443703 35.019671147475904,135.76994999784347 35.019624497200255,135.77000855687604 35.01933169557049,135.77027950553608 35.01934748329949,135.7702947122948 35.019205809317434,135.7702890676743 35.01902578437581,135.77156958182633 35.01902978256278))"
19,京都府,京都市,上京区,上善寺町,"POLYGON((135.7422201176625 35.03073070429642,135.74222821140702 35.03068874616187,135.7419525609395 35.03066083561439,135.7419609391778 35.03054175977402,135.74185540519377 35.03053040873632,135.7418666665151 35.030406197928826,135.74203595692853 35.03039923295657,135.74209964738264 35.03001786190026,135.74233586794927 35.03003871642648,135.74238035456648 35.0297409719765,135.74288361346885 35.02977006808762,135.74288419250882 35.02981119905802,135.7428754234449 35.03005683212971,135.74279704539373 35.030661076475155,135.74265697192664 35.030654300102555,135.74263889686807 35.03077405954916,135.7422201176625 35.03073070429642))"
20,京都府,京都市,上京区,上堀川町,"POLYGON((135.75140758781762 35.01776716958688,135.7514085626562 35.01770625077121,135.75140957448747 35.01764033147239,135.75145888340703 35.01761916227696,135.751532266928 35.017619453385464,135.7515333016252 35.01754627984657,135.75162369824986 35.01754709777982,135.75162868623315 35.01736885294513,135.7520022495439 35.017353202623475,135.75200447316962 35.01782324982672,135.75200758527714 35.01847472254069,135.75200871439012 35.01871164692911,135.75148299818113 35.018706773680286,135.75148598999976 35.01845985573895,135.75142922699695 35.01846185308714,135.75142937055986 35.01841424396359,135.7513311890815 35.01841840961819,135.75132878769276 35.018391360062324,135.75132853507878 35.018382837775576,135.75137444472583 35.01838187488005,135.75139871808088 35.01831642583108,135.7514062997961 35.01784618875455,135.75140758781762 35.01776716958688))"
21,京都府,京都市,上京区,上塔之段町,"POLYGON((135.7663664463138 35.03082635801346,135.76638974965044 35.03088246117395,135.76636817059503 35.0316973950402,135.76563431130205 35.03168156357828,135.76563668931183 35.03157783010367,135.76563774921942 35.03153156207667,135.76563774432847 35.03143380974899,135.7656501039254 35.031078673161424,135.7656631146495 35.03088094051498,135.7656802658135 35.030549968488124,135.766043227349 35.030558898588865,135.76605005329353 35.03082801123074,135.7663664463138 35.03082635801346))"
