id,prefectures,city,ward,town,polygon
12,京都,京都,中京区,三本木,"POLYGON((135.7610806507023 35.01624957869803,135.7608330984537 35.01625106946725,135.76085495209423 35.01518911208561,135.76118624527078 35.01519398188753,135.7611720405119 35.01508887373132,135.76129813295958 35.01509693621817,135.76130094751946 35.015063417911314,135.76139748367453 35.01506473206875,135.7614006474161 35.01491824583115,135.76182108712408 35.01492589219423,135.7618247101558 35.01507915270586,135.76199196397422 35.015077222699794,135.76199379934602 35.01510110133827,135.7619884959633 35.0153070258731,135.7619820901096 35.01596876370678,135.7618583101797 35.01598197629929,135.76185674139896 35.0160580365646,135.76185096035923 35.01617775419639,135.76180337033222 35.01617540837799,135.7618031859868 35.01623914704049,135.76160194228632 35.016242066795805,135.7610806507023 35.01624957869803))"
13,京都,京都,中京区,三本木町,"POLYGON((135.76107332570854 35.01739481033686,135.76059396208296 35.01739134438444,135.7605881609246 35.01720793539346,135.7604716301036 35.01720770876926,135.76046472799862 35.01649826343335,135.760464367498 35.01646023148239,135.76058215945955 35.01646046065302,135.76058046386817 35.01637397001001,135.76069057749993 35.016372423535785,135.76069713424766 35.016251861732876,135.7608330984537 35.01625106946725,135.7610806507023 35.01624957869803,135.7610814838221 35.016397480833895,135.76114354447108 35.01639865782682,135.7612095012142 35.016399208597676,135.7612110590304 35.01650436158691,135.76122428563016 35.01650403566204,135.7612134561845 35.01705800908955,135.76108544416368 35.01706839566717,135.76107332570854 35.01739481033686))"
14,京都,京都,中京区,三条大宮町,"POLYGON((135.7488699049024 35.00731405474127,135.74908142815272 35.00732188434236,135.7491692080806 35.00738439472532,135.74917679986225 35.00744941605682,135.7492190935492 35.00745316565441,135.74922221417012 35.00752465683274,135.74927795827446 35.00753146213638,135.74928331870132 35.0081818163142,135.74927895265373 35.00823793879508,135.74922190021042 35.00823894854272,135.74921759187322 35.00828366274883,135.74914661908184 35.00828802447736,135.74914085780335 35.0085003556301,135.7488760077215 35.008491289589486,135.74837817086376 35.00848033509886,135.74836255689272 35.007735655678204,135.74776803605033 35.00775541714093,135.74766990028803 35.00775570757446,135.74763761592774 35.00775380994808,135.747617798623 35.00732823661099,135.7476065540184 35.00668906868389,135.74837227796783 35.00669733915719,135.74837264470872 35.00731239772813,135.7488699049024 35.00731405474127))"
15,京都,京都,中京区,三条油小路町,"POLYGON((135.75371522055053 35.00856685309379,135.7534545359595 35.00856745411383,135.75344784777533 35.00872118761421,135.75337280015938 35.00872152923646,135.7533756922157 35.00844200179882,135.75333124057224 35.00844409456405,135.75332366475203 35.008351465239684,135.753276607732 35.00835137020913,135.75328459016967 35.00830835444292,135.75311205537042 35.00829941283461,135.75312288770982 35.00817674778217,135.75314669093956 35.00748215278175,135.75345782835097 35.00748278105379,135.7534477443912 35.00735584753273,135.75390268566937 35.00735458135662,135.7538848656262 35.007746483355575,135.75403648654353 35.00775749394325,135.75402887907313 35.008197872691,135.75404659998955 35.00819706276871,135.7540408441655 35.00841164902447,135.75384797028573 35.00841316269287,135.75384515537868 35.00843851152646,135.75372748202696 35.008438274357054,135.75371522055053 35.00856685309379))"
16,京都,京都,中京区,三条猪熊町,"POLYGON((135.7507607574644 35.00824181687604,135.75065946985004 35.008244004534404,135.75065852568275 35.00828696415503,135.75044030351617 35.0082856035028,135.75043774496837 35.00831785459303,135.75024713011865 35.00831514095882,135.75024739633048 35.00822738658146,135.75024761639253 35.0081548448009,135.75005973828877 35.00816023638773,135.75004477699562 35.008126117625,135.75004114395165 35.00811779932825,135.7500418046425 35.00804489244547,135.7500424903189 35.007969168447694,135.75004600335816 35.00758142100163,135.7500765308826 35.0075701444827,135.75009240975547 35.00747122459423,135.75018261600943 35.007467746331244,135.75018831118783 35.00742472611177,135.75027403033715 35.00742574606902,135.75027433325454 35.00732587839167,135.75062395962098 35.007328493838926,135.75062508216172 35.00754422071589,135.75076060985444 35.007541470085165,135.7507607574644 35.00824181687604))"
17,京都,京都,中京区,三条町,"POLYGON((135.7560973216869 35.00749913566236,135.75609720964448 35.00748666957828,135.75626669060674 35.00748566996902,135.75626715220787 35.00732988098209,135.75663262981305 35.00733448321335,135.75665419387522 35.007423690252054,135.7570277354488 35.00742168678747,135.75702396865722 35.00758155389773,135.75704648210396 35.007580964916194,135.75716553317525 35.007578032832384,135.75716747183145 35.00747915267718,135.75722012522144 35.00748207448048,135.75721820758136 35.007653284271164,135.75721315098974 35.00810507790267,135.75705431724558 35.00810124093013,135.7570131639833 35.00810249690749,135.7569480735243 35.00810039586817,135.75694785790975 35.00817335967267,135.75705470289864 35.00817357218164,135.75705548148582 35.00831577001156,135.75694070831437 35.008319274814625,135.7569034966419 35.008398504313945,135.75684625174569 35.00839937662911,135.7568460195928 35.008477904416914,135.75676044073555 35.008479071877204,135.7567567076469 35.0085910471367,135.7564964808752 35.0085883453148,135.75648136683253 35.00857606027903,135.75646085134423 35.00855932822188,135.7564627298682 35.008489184012674,135.7563509722747 35.008485439942454,135.7563037747859 35.00848592923001,135.7562884202183 35.00832762404063,135.75629173674548 35.008096482178054,135.7561030083125 35.00807842816427,135.7561020586985 35.007980036309476,135.75610077722575 35.00784945774873,135.75609937911818 35.007707962760726,135.75609869010935 35.00763696872693,135.7560973216869 35.00749913566236))"
18,京都,京都,中京区,上一文町,"POLYGON((135.75006133711963 35.00940993308995,135.7500614674501 35.00945867075432,135.75005847733283 35.00949190717689,135.74999486167223 35.009490579793315,135.74999456546152 35.00958812339415,135.74956083260395 35.00959195319217,135.74956095535538 35.00955159813019,135.74935856136574 35.00955118294515,135.7492836255388 35.00954983195636,135.74928287878978 35.00940826725258,135.74927980442354 35.008829685723256,135.7494118364954 35.00882995667367,135.74941004331373 35.00875135455683,135.7496649260695 35.00875180689288,135.74966448789638 35.00878385135522,135.74995670203225 35.008780435555295,135.7499572748145 35.00882452513146,135.7500598020634 35.00885128663935,135.7500604868322 35.00909814199109,135.75006133711963 35.00940993308995))"
19,京都,京都,中京区,上八文町,"POLYGON((135.75149581986406 35.00950117847744,135.75137426773205 35.009502340141836,135.75132800293213 35.0095027390736,135.7513266088128 35.00953154163753,135.75116801402217 35.00953304956918,135.7511330684567 35.00953340116995,135.75112353372145 35.00948788429906,135.7507869492792 35.009493043270545,135.75079031716632 35.00908737837334,135.75078884281825 35.008846578506756,135.75081371904628 35.00883578339748,135.75080782236674 35.00875505890569,135.7509793837841 35.008753507537506,135.75110942499836 35.00875377258045,135.7511092410136 35.008814622980104,135.75157932086512 35.00881297369977,135.75159266396855 35.0091424685881,135.75115534715292 35.00914348057423,135.75115317506672 35.00933102814035,135.7516000743831 35.009325247838525,135.7516071635082 35.00950013746544,135.75149581986406 35.00950117847744))"
20,京都,京都,中京区,上大阪町,"POLYGON((135.77176019249652 35.01092157887799,135.77043783467326 35.010930946553444,135.77043465004655 35.01072986616721,135.7704295595546 35.010406306798885,135.77042402875713 35.01005675845768,135.7704231237848 35.009651790677026,135.7702986266143 35.009358573784986,135.77032284714434 35.00922212820266,135.77073702062742 35.00926389129276,135.77073733272965 35.00931276971625,135.77101114168786 35.00934194538126,135.77101454177262 35.009303990921936,135.7711134045645 35.009312414887944,135.7711133444991 35.009334036988925,135.77176763043636 35.009341029980106,135.77177363025314 35.00956253959469,135.771776728789 35.010197461047404,135.77176256853318 35.01079002277614,135.77176019249652 35.01092157887799))"
21,京都,京都,中京区,上妙覚寺町,"POLYGON((135.7575910623288 35.013361324446606,135.7572522773207 35.013360862176086,135.75697032383897 35.013354807476354,135.75691054047303 35.01332292527109,135.7569155870163 35.01218599873018,135.7569157320231 35.012151348363794,135.7570861765457 35.012146265068715,135.75708603756811 35.012193381285485,135.75725087030528 35.01218265137025,135.7572508266452 35.012139477913514,135.75757970874267 35.01213689129306,135.7575910623288 35.013361324446606))"
22,京都,京都,中京区,上巴町,"POLYGON((135.7508429512931 35.01091406506956,135.75077844584803 35.010916399026506,135.75079000554175 35.0105333585751,135.7509612945838 35.01053103145816,135.75096151086095 35.010459546234586,135.75096164510197 35.010415175939954,135.7507907708815 35.01041482737643,135.75079970504552 35.01003692364726,135.7508172907199 35.01000998506334,135.75103559497217 35.010007401253844,135.75103572831912 35.00996331312056,135.7511557842154 35.009961867492976,135.7511540753373 35.00981896297832,135.7511905507232 35.009808403280964,135.75154000508243 35.009800240378254,135.751610836781 35.009772212796165,135.75160813735027 35.00995039278539,135.75147920574972 35.00995034145096,135.75147960710092 35.01000175620789,135.75142279246495 35.010001640586765,135.75142192689074 35.01005424904525,135.75137861494883 35.010054160884245,135.7513652949436 35.01090731191966,135.7508429512931 35.01091406506956))"
